DATAFLOW,LAST UPDATE,freq,indic_de,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2018,46.3,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2019,46.5,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2020,46.8,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2021,46.9,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT22,2022,47.1,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,1990,35.7,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,1991,35.7,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,1992,35.7,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,1993,35.8,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,1994,36.0,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,1995,36.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,1996,36.6,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,1997,37.0,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,1998,37.4,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,1999,37.8,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,2000,38.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,2001,38.6,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,2002,39.1,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,2003,39.5,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,2004,39.8,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,2005,40.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,2006,40.7,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,2007,41.1,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,2008,41.5,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,2009,42.0,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,2010,42.4,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,2011,42.9,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,2012,43.3,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,2013,43.7,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,2014,44.0,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,2015,44.2,
ESTAT:DEMO_R_PJANIND2(1.0),31/03/23 23:00:00,A,FMEDAGEPOP,YR,AT31,2016,44.3,
