country_code,country,year,nuts2016,nutslevel,regionname,type,sum_farright,sum_eurosceptic,sum_populist,growth_sum_farright,growth_sum_eurosceptic,growth_sum_populist,dev_mean_sum_farright,dev_mean_sum_eurosceptic,dev_mean_sum_populist,gdp,population,employment,employment_rate,ge65,elder_rate,fem_rate,migration_rate,pop_density,gdp_lag_4,employment_rate_lag_4,migration_rate_lag_4,growth_eurosceptic_p_perc,growth_populism_p_perc
DE,Germany,2004,DE236,3,Neumarkt i. d. OPf.,EP,-Inf,-5.177773332575797,-5.177773332575797,-Inf,-Inf,-Inf,NA,NA,NA,9.998797732340453,11.76465647313635,4.0260657214688065,-0.8308354726854075,NA,NA,4.589543045816341,-0.2231435513142097,4.5612182984589085,0.05129329438755048,-0.058783274267116895,-1.8718021769015913,NA,NA
DE,Germany,2004,DE237,3,Neustadt a. d. Waldnaab,EP,-Inf,-5.386355784872418,-5.386355784872418,-Inf,-Inf,-Inf,NA,NA,NA,9.803667217253917,11.52221220936196,3.559909072816976,-1.054547857562847,NA,NA,4.578755088679724,NA,4.254193263163997,0.03944173205129662,-0.026931634260530846,NA,NA,NA
DE,Germany,2004,DE238,3,"Regensburg, Landkreis",EP,-Inf,-4.796414440802589,-4.796414440802589,-Inf,-Inf,-Inf,NA,NA,NA,9.717157974344635,12.102676865181934,4.01349597435878,-1.1814256118410174,NA,NA,4.591064359766223,1.4350845252893227,4.86599480426999,0.10804148241108405,-0.019887340008244048,-0.6811709895132297,NA,NA
DE,Germany,2004,DE239,3,Schwandorf,EP,-Inf,-4.928570341041953,-4.928570341041953,-Inf,-Inf,-Inf,NA,NA,NA,10.077440859659566,11.882970627847133,4.199605072879594,-0.7756102759854017,NA,NA,4.58699037876023,0.4054651081081644,4.5880240271531205,0.047320656190071954,-0.02145678018124536,-1.0055218656020977,NA,NA
DE,Germany,2004,DE23A,3,Tirschenreuth,EP,-Inf,-5.336534231532697,-5.336534231532697,-Inf,-Inf,-Inf,NA,NA,NA,9.933046354777673,11.275619599843514,3.4560011737028296,-0.9118631471585479,NA,NA,4.574714583319727,NA,4.283586561860629,0.0703807967617996,-0.05300504272187358,0.04652001563489291,NA,NA
DE,Germany,2004,DE241,3,"Bamberg, Kreisfreie Stadt",EP,-Inf,-4.529487226839681,-4.529487226839681,-Inf,-Inf,-Inf,NA,NA,NA,10.694215061434937,11.154806621967923,4.119199763220277,-0.12785157976550848,NA,NA,4.467468926827879,1.547562508716013,7.153129879137668,0.06317890162153167,-0.07848157097818337,0.1365755350057509,NA,NA
DE,Germany,2004,DE242,3,"Bayreuth, Kreisfreie Stadt",EP,-Inf,-4.327553833886855,-4.327553833886855,-Inf,-Inf,-Inf,NA,NA,NA,10.659609532257463,11.222813776724227,4.096009841541162,-0.21904865620092723,NA,NA,4.527609876312307,NA,7.017058013872587,0.023754086008107057,-0.05410998444832054,NA,NA,NA
DE,Germany,2004,DE243,3,"Coburg, Kreisfreie Stadt",EP,-Inf,-4.212371768310659,-4.212371768310659,-Inf,-Inf,-Inf,NA,NA,NA,10.789319076925574,10.6515252995352,3.596490004820589,-0.14728001573247293,NA,NA,4.493498798769319,-0.5108256237659907,6.772050096816762,0.13677671189120522,0.011201529972181126,NA,NA,NA
DE,Germany,2004,DE244,3,"Hof, Kreisfreie Stadt",EP,-Inf,-4.502425294220734,-4.502425294220734,-Inf,-Inf,-Inf,NA,NA,NA,10.468801361586188,10.813458355665464,3.555633734966574,-0.3500693417167523,NA,NA,4.505379295301375,NA,6.747351757489113,0.10472940172081646,0.011734242332535241,0.11778303565638346,NA,NA
DE,Germany,2004,DE245,3,"Bamberg, Landkreis",EP,-Inf,-5.152471822437115,-5.152471822437115,-Inf,-Inf,-Inf,NA,NA,NA,9.752664662801545,11.879427959947769,3.7417090677584683,-1.2299636132071627,NA,NA,4.594717322355052,1.1631508098056809,4.818667360250496,0.1570618900347167,-0.009000290298275372,0.06453852113757116,NA,NA
