geo,year,gdp_regional,employment_in_prof_scientific_techn_activities_admin_support_service_activities_isic_rev4,employment_in_agriculture_forestry_and_fishing_isic_rev4,employment_in_public_admin_compulsory_s_s_education_human_health_isic_rev4,employment_in_financial_and_insurance_activities_isic_rev4,employment_in_other_services_isic_rev4,employment_in_construction_isic_rev4,of_which_employment_in_manufacturing_isic_rev4,regional_employment_at_place_of_work_total_activities,employment_in_distributive_trade_repairs_transport_accommod_food_serv_activities_isic_rev4,employment_in_information_and_communication_isic_rev4,employment_in_industry_including_energy_isic_rev4,employment_in_real_estate_activities_isic_rev4,disposable_household_income,primary_income_of_private_households,labour_utilisation_percent_total_employment_over_population,proc_gva_in_other_services_isic_rev4,proc_gva_in_information_and_communication_isic_rev4,proc_gva_in_distributive_trade_repairs_transport_accommod_food_serv_activities_isic_rev4,proc_gva_in_real_estate_activities_isic_rev4,proc_gva_in_industry_including_energy_isic_rev4,proc_gva_in_construction_isic_rev4,proc_gva_in_financial_and_insurance_activities_isic_rev4,proc_gva_in_public_admin_compulsory_s_s_education_human_health_isic_rev4,proc_gva_in_prof_scientific_techn_activities_admin_support_service_activities_isic_rev4,proc_gva_in_agriculture_forestry_and_fishing_isic_rev4,air_pollution_in_pm2_5_average_level_in_mg_m3_experienced_by_the_population,pct_patent_applications_per_million_inhabitants_fractional_count_by_inventor_and_priority_year_level,pct_patent_applications_count_fractional_count_by_inventor_place_of_residence_and_priority_year,obs_value,econ_act_rate,HRST,HTC,participation_in_formal_and_or_non_formal_training_25_to_64_year_olds_population,FMEDAGEPOP,MEDAGEPOP,MMEDAGEPOP,ed3_4,disp_income,country_code,country_name,is_duplicate
AT12,2011,27000,59100,47700,146300,17700,27900,50200,107000,678200,197200,8800,116700,6600,25927,28877,42.1,0.02440088067608234,0.012905942640682235,0.24731614925344433,0.10273836421147764,0.24132639816942436,0.07130630414090817,0.03113151493592024,0.1719168164905635,0.06432127371143437,0.03265789195373566,16.82,126.4,203.508,0.1636,66.7,37.5,3.4,12,44.1,43.1,42.1,66.1,20500,AT,Austria,FALSE
AT12,2012,28000,60900,45200,148300,17500,28500,51000,107600,683300,198700,8800,117600,6800,25891,29743,42.3,0.024347939440896856,0.013133011908390217,0.24435884536718455,0.10634985624006257,0.2424640783757881,0.07159942569465609,0.028477319712553562,0.17321071204315366,0.06841779612160291,0.027619900928656144,15.08,143.7,232.041,NA,66.7,37.9,3.3,12.7,44.5,43.5,42.5,66.1,20500,AT,Austria,FALSE
AT12,2013,28200,62000,44600,149300,17300,28800,51000,107600,686600,199500,8900,118100,7200,26073,30174,42.3,0.02485993665467938,0.01358627742556393,0.2382361855269944,0.10808937822686274,0.2379472854917238,0.07355678480846636,0.031263946516273226,0.17312981536983635,0.07122201170133761,0.028061941585476303,15.05,147.3,238.342,0.1805,66.6,39.2,3.4,12,44.9,43.9,42.9,66.4,20300,AT,Austria,FALSE
AT12,2014,28600,63100,46100,150600,17000,29100,51900,107100,693700,201900,9300,117400,7200,26515,30779,42.5,0.024850305066319887,0.014341643315805135,0.24365742436987076,0.10898410421278784,0.2368972854515962,0.0725053281247581,0.030319997110169625,0.17147599806656585,0.07157937830803872,0.02534570455956749,13.31,141.8,230.421,NA,67.2,46.1,4.2,12.9,45.3,44.3,43.3,55.4,20500,AT,Austria,FALSE
AT12,2015,29500,64800,43400,153500,16700,29700,51900,107800,698000,203600,9100,118000,7300,26407,30982,42.4,0.024595872707174976,0.013567207719350738,0.24306646387579892,0.11134698016140157,0.2380299365862983,0.07170651839662236,0.031213005211060414,0.17061028415654791,0.07212273834160288,0.023721877311525003,13.82,140.5,229.968,0.1955,67.8,47.3,4.3,13.5,45.6,44.6,43.6,55.8,20600,AT,Austria,FALSE
AT12,2016,29900,66300,42500,156100,16100,30500,52800,108300,704600,205000,9100,118700,7400,28001,32100,42.5,0.024392660193809507,0.013578421998100153,0.2380154433133839,0.11326773739470113,0.2358365755095259,0.07073686487571049,0.03090951271737733,0.17220109539051895,0.07461054697419531,0.026450671373439132,12.6,NA,NA,NA,67.9,47.1,4.7,13.4,45.8,44.7,43.6,55.1,21100,AT,Austria,FALSE
AT12,2017,30900,70000,41500,159000,15700,31200,54200,108000,716300,209200,9500,118500,7400,28281,32835,42.9,0.02436771931081741,0.012636507090530982,0.23751300689570748,0.11222625802993863,0.2371666539770123,0.07235193039500655,0.03186103484877664,0.17211500708381294,0.07522203162859023,0.024560303476816005,12.49,NA,NA,0.2199,69.1,49.2,4.9,14.3,46,44.9,43.7,53.8,21200,AT,Austria,FALSE
AT12,2018,32000,73100,38900,161600,15600,31600,55400,111100,727200,212100,9900,121500,7600,29564,34615,43.4,0.02420737114380502,0.012955030299939656,0.2390947131634044,0.11211657614931539,0.23543010615602983,0.07423244402514655,0.030425870680594155,0.1719872170801567,0.0752318179113865,0.02433698519141799,12.77,NA,NA,NA,68.3,49.5,3.9,13.7,46.3,45.2,44,54.6,21800,AT,Austria,FALSE
AT12,2019,33000,75300,37100,162300,15200,32000,57700,112800,736200,214900,10200,123600,7800,29750,34934,43.8,0.023998003480197296,0.013199793217591864,0.23869930025820377,0.11109535713159342,0.23519442071444147,0.07572980614834855,0.031113759120434303,0.17122351286013804,0.07654815986967772,0.023197475828535152,11.95,NA,NA,0.309,68.4,49.1,3.2,12.6,46.6,45.4,44.2,54.5,22200,AT,Austria,FALSE
AT12,2020,30900,NA,NA,NA,NA,NA,NA,NA,727000,NA,NA,NA,NA,30429,34487,NA,0.02193046083325107,0.013765052441224482,0.2181443346166447,0.12148852673851492,0.22623477587832433,0.08317102377345048,0.03312974893164686,0.18276671631093044,0.07532393955131313,0.024046708528083344,NA,NA,NA,NA,68.1,51,2.9,9.3,46.8,45.7,44.4,54.1,NA,AT,Austria,FALSE
