country,year,nuts2,nutslevel,regionname,type,sum_farright,sum_eurosceptic,sum_populist
Spain,1993,ES22,2,Comunidad Foral de Navarra,Parliament,0,0.08639963705954332,0
Spain,1993,ES23,2,La Rioja,Parliament,0,0.06918617210717143,0
Spain,1993,ES24,2,Aragón,Parliament,0,0.09648248036564534,0
Spain,1993,ES30,2,Comunidad de Madrid,Parliament,0,0.14519146181103076,0
Spain,1993,ES41,2,Castilla y León,Parliament,0,0.07641018298793992,0
Spain,1993,ES42,2,Castilla-La Mancha,Parliament,0,0.07557666802952259,0
Spain,1993,ES43,2,Extremadura,Parliament,0,0.07803488509380357,0
Spain,1993,ES51,2,Cataluña,Parliament,0,0.07431997564740928,0
Spain,1993,ES52,2,Comunidad Valenciana,Parliament,0,0.1047654542185049,0
Spain,1993,ES53,2,Illes Balears,Parliament,0,0.05923429775274128,0
Spain,1993,ES61,2,Andalucía,Parliament,0,0.12035225316147709,0
Spain,1993,ES62,2,Región de Murcia,Parliament,0,0.09654793075860063,0
Spain,1993,ES63,2,Ciudad Autónoma de Ceuta,Parliament,0,0,0
Spain,1993,ES64,2,Ciudad Autónoma de Melilla,Parliament,0,0.02589911784664103,0
Spain,1993,ES70,2,Canarias,Parliament,0,0.04942579326595942,0
Spain,1994,ES11,2,Galicia,EP,0,0.05047796958554291,0
Spain,1994,ES12,2,Principado de Asturias,EP,0,0.19414460902236308,0
Spain,1994,ES13,2,Cantabria,EP,0,0.12195415800728894,0
Spain,1994,ES21,2,País Vasco,EP,0,0.09497349730138359,0
Spain,1994,ES22,2,Comunidad Foral de Navarra,EP,0,0.12690894489372082,0
Spain,1994,ES23,2,La Rioja,EP,0,0.10798247082274533,0
Spain,1994,ES24,2,Aragón,EP,0,0.13651953552149687,0
Spain,1994,ES30,2,Comunidad de Madrid,EP,0,0.19494491073625503,0
Spain,1994,ES41,2,Castilla y León,EP,0,0.10441235136942464,0
Spain,1994,ES42,2,Castilla-La Mancha,EP,0,0.10422642734206611,0
Spain,1994,ES43,2,Extremadura,EP,0,0.10660605907435021,0
Spain,1994,ES51,2,Cataluña,EP,0,0.11035809535365038,0
Spain,1994,ES52,2,Comunidad Valenciana,EP,0,0.13869561790117851,0
Spain,1994,ES53,2,Illes Balears,EP,0,0.09834956432598667,0
Spain,1994,ES61,2,Andalucía,EP,0,0.16943942503093518,0
Spain,1994,ES62,2,Región de Murcia,EP,0,0.13033362988517827,0
Spain,1994,ES63,2,Ciudad Autónoma de Ceuta,EP,0,0.042229230314378634,0
Spain,1994,ES64,2,Ciudad Autónoma de Melilla,EP,0,0.04812062236004919,0
Spain,1994,ES70,2,Canarias,EP,0,0.09155244728149792,0
Spain,1996,ES11,2,Galicia,Parliament,0,0.1638070997384539,0
Spain,1996,ES12,2,Principado de Asturias,Parliament,0,0.15440364942335208,0
Spain,1996,ES13,2,Cantabria,Parliament,0,0.11282052745258604,0
Spain,1996,ES21,2,País Vasco,Parliament,0,0.09143790721020412,0
Spain,1996,ES22,2,Comunidad Foral de Navarra,Parliament,0,0.12370900150520692,0
Spain,1996,ES23,2,La Rioja,Parliament,0,0.08661171405307129,0
Spain,1996,ES24,2,Aragón,Parliament,0,0.09094496386880171,0
