DATAFLOW,LAST UPDATE,freq,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2012,44.0,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2013,40.1,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2014,40.4,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2015,41.6,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2016,40.7,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2017,37.7,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2018,38.9,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2019,44.4,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2020,45.9,
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,AT34,2021,42.2,b
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,1999,,bu
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2000,,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2001,,bu
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2002,,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2003,,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2004,,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2005,4.4,bu
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2006,4.7,u
ESTAT:YTH_EMPL_030(1.0),16/02/23 08:52:00,A,T,Y15-19,PC,BE10,2007,3.8,u
