DATAFLOW,LAST UPDATE,freq,unit,direct,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT22,2003,15200,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT22,2004,15700,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT22,2005,16900,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT22,2006,17700,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT22,2007,18600,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT22,2008,19100,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT22,2009,18700,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT22,2010,18900,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT22,2011,19200,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT22,2012,19200,b
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT22,2013,19000,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT22,2014,19300,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT22,2015,19400,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT22,2016,19800,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT22,2017,20200,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT22,2018,20700,
ESTAT:NAMA_10R_2HHINC(1.0),18/04/22 23:00:00,A,PPS_EU27_2020_HAB,BAL,B6N,AT22,2019,21200,
