DATAFLOW,LAST UPDATE,freq,unit,sex,age,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT13,2015,125.2,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT13,2016,130.7,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT13,2017,129.2,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT13,2018,143.3,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT13,2019,142.3,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT13,2020,142.0,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT13,2021,145.9,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,1999,150.1,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2000,152.9,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2001,137.9,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2002,129.7,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2003,132.8,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2004,115.2,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2005,126.3,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2006,131.3,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2007,137.2,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2008,134.9,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2009,128.0,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2010,125.3,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2011,118.6,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2012,118.4,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2013,125.8,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2014,110.5,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2015,100.4,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2016,108.3,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2017,107.6,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2018,101.0,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2019,102.0,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2020,103.9,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT2,2021,102.6,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,1999,43.6,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2000,42.2,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2001,37.1,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2002,30.6,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2003,32.0,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2004,36.0,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2005,34.6,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2006,34.5,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2007,36.6,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2008,36.4,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2009,33.5,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2010,36.3,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2011,33.5,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2012,33.2,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2013,35.7,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2014,30.9,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2015,30.3,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2016,27.6,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2017,28.4,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2018,27.7,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2019,28.4,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2020,26.1,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT21,2021,27.4,b
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,1999,106.5,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2000,110.7,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2001,100.8,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2002,99.1,
ESTAT:LFST_R_LFP2ACEDU(1.0),27/09/22 23:00:00,A,THS,T,Y15-74,ED0-2,AT22,2003,100.8,
