DATAFLOW,LAST UPDATE,freq,indic_de,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2000,41.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2001,41.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2002,42.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2003,42.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2004,42.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2005,43.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2006,43.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2007,44.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2008,44.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2009,44.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2010,45.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2011,45.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2012,46.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2013,46.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2014,46.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2015,47.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2016,47.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2017,47.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2018,48.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2019,48.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2020,48.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT11,2021,49.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,1990,39.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,1991,38.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,1992,38.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,1993,38.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,1994,38.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,1995,38.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,1996,38.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,1997,39.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,1998,39.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,1999,39.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2000,39.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2001,40.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2002,40.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2003,41.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2004,41.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2005,41.7,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2006,42.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2007,42.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2008,42.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2009,43.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2010,43.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2011,44.1,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2012,44.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2013,44.9,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2014,45.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2015,45.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2016,45.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2017,46.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2018,46.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2019,46.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2020,46.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT12,2021,47.0,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,1990,42.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,1991,42.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,1992,42.2,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,1993,41.8,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,1994,41.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,1995,41.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,1996,41.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,1997,41.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,1998,41.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,1999,41.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2000,41.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2001,41.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2002,41.6,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2003,41.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2004,41.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2005,41.3,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2006,41.4,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2007,41.5,
ESTAT:DEMO_R_PJANIND2(1.0),02/06/22 23:00:00,A,FMEDAGEPOP,YR,AT13,2008,41.6,
