Provinces;Five-year age group;Nationality;Sex;Period;Total
40 Segovia;Total;De Sudamérica;Both sexes;1 July 2018;2,095.026119
40 Segovia;Total;De Sudamérica;Both sexes;1 January 2018;2,033.026119
40 Segovia;Total;De Sudamérica;Both sexes;1 July 2017;1,953.026119
40 Segovia;Total;De Sudamérica;Both sexes;1 January 2017;1,938.026119
40 Segovia;Total;De Sudamérica;Both sexes;1 July 2016;1,934.228937
40 Segovia;Total;De Sudamérica;Both sexes;1 January 2016;1,987.683387
40 Segovia;Total;De Sudamérica;Both sexes;1 July 2015;2,018.340957
40 Segovia;Total;De Sudamérica;Both sexes;1 January 2015;2,105.473348
40 Segovia;Total;De Sudamérica;Both sexes;1 July 2014;2,217.652288
40 Segovia;Total;De Sudamérica;Both sexes;1 January 2014;2,322.955265
40 Segovia;Total;De Sudamérica;Both sexes;1 July 2013;2,487.630823
40 Segovia;Total;De Sudamérica;Both sexes;1 January 2013;2,740.044332
40 Segovia;Total;De Sudamérica;Both sexes;1 July 2012;2,790.654944
40 Segovia;Total;De Sudamérica;Both sexes;1 January 2012;2,859.554507
40 Segovia;Total;De Sudamérica;Both sexes;1 July 2011;2,973.264186
40 Segovia;Total;De Sudamérica;Both sexes;1 January 2011;3,074.809487
40 Segovia;Total;De Sudamérica;Both sexes;1 July 2010;3,204.824802
40 Segovia;Total;De Sudamérica;Both sexes;1 January 2010;3,247.466900
40 Segovia;Total;De Sudamérica;Both sexes;1 July 2009;3,350.068050
40 Segovia;Total;De Sudamérica;Both sexes;1 January 2009;3,346.480549
40 Segovia;Total;De Sudamérica;Both sexes;1 July 2008;3,359.945400
40 Segovia;Total;De Sudamérica;Both sexes;1 January 2008;3,306.775461
40 Segovia;Total;De Sudamérica;Both sexes;1 July 2007;3,140.052233
40 Segovia;Total;De Sudamérica;Both sexes;1 January 2007;2,891.454485
40 Segovia;Total;De Sudamérica;Both sexes;1 July 2006;2,743.127106
40 Segovia;Total;De Sudamérica;Both sexes;1 January 2006;2,574.686840
40 Segovia;Total;De Sudamérica;Both sexes;1 July 2005;2,506.166552
40 Segovia;Total;De Sudamérica;Both sexes;1 January 2005;2,394.488974
40 Segovia;Total;De Sudamérica;Both sexes;1 July 2004;2,257.131050
40 Segovia;Total;De Sudamérica;Both sexes;1 January 2004;2,152.782147
40 Segovia;Total;De Sudamérica;Both sexes;1 July 2003;2,016.585372
40 Segovia;Total;De Sudamérica;Both sexes;1 January 2003;1,819.517544
40 Segovia;Total;De Sudamérica;Both sexes;1 July 2002;1,640.514166
40 Segovia;Total;De Sudamérica;Both sexes;1 January 2002;1,345.942208
40 Segovia;Total;De Asia;Both sexes;1 July 2022;461.370266
40 Segovia;Total;De Asia;Both sexes;1 January 2022;438.370266
40 Segovia;Total;De Asia;Both sexes;1 July 2021;436.370266
40 Segovia;Total;De Asia;Both sexes;1 January 2021;456.370266
40 Segovia;Total;De Asia;Both sexes;1 July 2020;451.370266
40 Segovia;Total;De Asia;Both sexes;1 January 2020;438.370266
40 Segovia;Total;De Asia;Both sexes;1 July 2019;421.370266
40 Segovia;Total;De Asia;Both sexes;1 January 2019;403.370266
40 Segovia;Total;De Asia;Both sexes;1 July 2018;391.370266
40 Segovia;Total;De Asia;Both sexes;1 January 2018;367.370266
40 Segovia;Total;De Asia;Both sexes;1 July 2017;337.370266
40 Segovia;Total;De Asia;Both sexes;1 January 2017;331.370266
40 Segovia;Total;De Asia;Both sexes;1 July 2016;334.858531
40 Segovia;Total;De Asia;Both sexes;1 January 2016;325.167400
40 Segovia;Total;De Asia;Both sexes;1 July 2015;314.196448
40 Segovia;Total;De Asia;Both sexes;1 January 2015;299.604160
40 Segovia;Total;De Asia;Both sexes;1 July 2014;293.526146
40 Segovia;Total;De Asia;Both sexes;1 January 2014;284.245669
40 Segovia;Total;De Asia;Both sexes;1 July 2013;266.055943
40 Segovia;Total;De Asia;Both sexes;1 January 2013;271.296683
40 Segovia;Total;De Asia;Both sexes;1 July 2012;243.975058
40 Segovia;Total;De Asia;Both sexes;1 January 2012;239.630928
40 Segovia;Total;De Asia;Both sexes;1 July 2011;249.653382
40 Segovia;Total;De Asia;Both sexes;1 January 2011;243.082317
40 Segovia;Total;De Asia;Both sexes;1 July 2010;258.956114
40 Segovia;Total;De Asia;Both sexes;1 January 2010;263.840574
40 Segovia;Total;De Asia;Both sexes;1 July 2009;270.731168
40 Segovia;Total;De Asia;Both sexes;1 January 2009;262.943105
40 Segovia;Total;De Asia;Both sexes;1 July 2008;227.349716
40 Segovia;Total;De Asia;Both sexes;1 January 2008;217.376376
40 Segovia;Total;De Asia;Both sexes;1 July 2007;207.602612
40 Segovia;Total;De Asia;Both sexes;1 January 2007;200.311282
40 Segovia;Total;De Asia;Both sexes;1 July 2006;197.916158
40 Segovia;Total;De Asia;Both sexes;1 January 2006;183.769329
40 Segovia;Total;De Asia;Both sexes;1 July 2005;169.941622
40 Segovia;Total;De Asia;Both sexes;1 January 2005;152.869372
40 Segovia;Total;De Asia;Both sexes;1 July 2004;136.966884
40 Segovia;Total;De Asia;Both sexes;1 January 2004;131.387522
40 Segovia;Total;De Asia;Both sexes;1 July 2003;124.337418
40 Segovia;Total;De Asia;Both sexes;1 January 2003;97.017601
40 Segovia;Total;De Asia;Both sexes;1 July 2002;86.109778
40 Segovia;Total;De Asia;Both sexes;1 January 2002;57.883966
40 Segovia;Total;De Oceanía;Both sexes;1 July 2022;0.294834
40 Segovia;Total;De Oceanía;Both sexes;1 January 2022;0.294834
40 Segovia;Total;De Oceanía;Both sexes;1 July 2021;0.294834
40 Segovia;Total;De Oceanía;Both sexes;1 January 2021;0.294834
40 Segovia;Total;De Oceanía;Both sexes;1 July 2020;0.294834
40 Segovia;Total;De Oceanía;Both sexes;1 January 2020;0.294834
40 Segovia;Total;De Oceanía;Both sexes;1 July 2019;1.294834
40 Segovia;Total;De Oceanía;Both sexes;1 January 2019;1.294834
40 Segovia;Total;De Oceanía;Both sexes;1 July 2018;1.294834
40 Segovia;Total;De Oceanía;Both sexes;1 January 2018;1.294834
40 Segovia;Total;De Oceanía;Both sexes;1 July 2017;0.294834
40 Segovia;Total;De Oceanía;Both sexes;1 January 2017;0.294834
40 Segovia;Total;De Oceanía;Both sexes;1 July 2016;0.294834
40 Segovia;Total;De Oceanía;Both sexes;1 January 2016;0.294834
40 Segovia;Total;De Oceanía;Both sexes;1 July 2015;0.294834
40 Segovia;Total;De Oceanía;Both sexes;1 January 2015;0.294834
40 Segovia;Total;De Oceanía;Both sexes;1 July 2014;0.294834
40 Segovia;Total;De Oceanía;Both sexes;1 January 2014;0.294834
40 Segovia;Total;De Oceanía;Both sexes;1 July 2013;0.294834
40 Segovia;Total;De Oceanía;Both sexes;1 January 2013;0.294834
40 Segovia;Total;De Oceanía;Both sexes;1 July 2012;0.294834
40 Segovia;Total;De Oceanía;Both sexes;1 January 2012;0.294834
40 Segovia;Total;De Oceanía;Both sexes;1 July 2011;0.715512
40 Segovia;Total;De Oceanía;Both sexes;1 January 2011;0.992462
40 Segovia;Total;De Oceanía;Both sexes;1 July 2010;0.587940
40 Segovia;Total;De Oceanía;Both sexes;1 January 2010;0.183422
40 Segovia;Total;De Oceanía;Both sexes;1 July 2009;1.238050
40 Segovia;Total;De Oceanía;Both sexes;1 January 2009;1.287778
40 Segovia;Total;De Oceanía;Both sexes;1 July 2008;1.337506
40 Segovia;Total;De Oceanía;Both sexes;1 January 2008;2.387233
40 Segovia;Total;De Oceanía;Both sexes;1 July 2007;2.436962
40 Segovia;Total;De Oceanía;Both sexes;1 January 2007;2.486689
40 Segovia;Total;De Oceanía;Both sexes;1 July 2006;1.536152
40 Segovia;Total;De Oceanía;Both sexes;1 January 2006;2.586000
40 Segovia;Total;De Oceanía;Both sexes;1 July 2005;3.635680
40 Segovia;Total;De Oceanía;Both sexes;1 January 2005;3.685360
40 Segovia;Total;De Oceanía;Both sexes;1 July 2004;3.735040
40 Segovia;Total;De Oceanía;Both sexes;1 January 2004;3.784720
40 Segovia;Total;De Oceanía;Both sexes;1 July 2003;3.834400
40 Segovia;Total;De Oceanía;Both sexes;1 January 2003;3.884080
40 Segovia;Total;De Oceanía;Both sexes;1 July 2002;3.933760
40 Segovia;Total;De Oceanía;Both sexes;1 January 2002;3.983440
40 Segovia;Total;Stateless persons;Both sexes;1 July 2022;4.939236
40 Segovia;Total;Stateless persons;Both sexes;1 January 2022;3.939236
40 Segovia;Total;Stateless persons;Both sexes;1 July 2021;3.939236
40 Segovia;Total;Stateless persons;Both sexes;1 January 2021;2.939236
40 Segovia;Total;Stateless persons;Both sexes;1 July 2020;2.939236
40 Segovia;Total;Stateless persons;Both sexes;1 January 2020;2.939236
40 Segovia;Total;Stateless persons;Both sexes;1 July 2019;2.939236
40 Segovia;Total;Stateless persons;Both sexes;1 January 2019;2.939236
40 Segovia;Total;Stateless persons;Both sexes;1 July 2018;2.939236
40 Segovia;Total;Stateless persons;Both sexes;1 January 2018;2.939236
40 Segovia;Total;Stateless persons;Both sexes;1 July 2017;0.939236
40 Segovia;Total;Stateless persons;Both sexes;1 January 2017;0.939236
40 Segovia;Total;Stateless persons;Both sexes;1 July 2016;0.939236
40 Segovia;Total;Stateless persons;Both sexes;1 January 2016;0.939236
40 Segovia;Total;Stateless persons;Both sexes;1 July 2015;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 January 2015;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 July 2014;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 January 2014;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 July 2013;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 January 2013;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 July 2012;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 January 2012;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 July 2011;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 January 2011;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 July 2010;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 January 2010;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 July 2009;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 January 2009;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 July 2008;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 January 2008;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 July 2007;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 January 2007;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 July 2006;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 January 2006;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 July 2005;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 January 2005;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 July 2004;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 January 2004;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 July 2003;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 January 2003;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 July 2002;0.000000
40 Segovia;Total;Stateless persons;Both sexes;1 January 2002;0.000000
41 Sevilla;Total;Total;Both sexes;1 July 2022;1,962,999.523783
41 Sevilla;Total;Total;Both sexes;1 January 2022;1,960,568.187353
41 Sevilla;Total;Total;Both sexes;1 July 2021;1,959,803.200180
41 Sevilla;Total;Total;Both sexes;1 January 2021;1,960,919.973003
41 Sevilla;Total;Total;Both sexes;1 July 2020;1,960,540.622519
41 Sevilla;Total;Total;Both sexes;1 January 2020;1,957,520.152030
41 Sevilla;Total;Total;Both sexes;1 July 2019;1,952,646.206572
41 Sevilla;Total;Total;Both sexes;1 January 2019;1,949,639.261110
41 Sevilla;Total;Total;Both sexes;1 July 2018;1,946,216.103079
41 Sevilla;Total;Total;Both sexes;1 January 2018;1,945,235.705045
41 Sevilla;Total;Total;Both sexes;1 July 2017;1,943,274.890254
41 Sevilla;Total;Total;Both sexes;1 January 2017;1,943,165.855463
41 Sevilla;Total;Total;Both sexes;1 July 2016;1,941,354.662868
41 Sevilla;Total;Total;Both sexes;1 January 2016;1,940,720.836637
41 Sevilla;Total;Total;Both sexes;1 July 2015;1,939,763.011475
41 Sevilla;Total;Total;Both sexes;1 January 2015;1,939,412.002477
41 Sevilla;Total;Total;Both sexes;1 July 2014;1,937,693.789976
41 Sevilla;Total;Total;Both sexes;1 January 2014;1,936,907.632774
41 Sevilla;Total;Total;Both sexes;1 July 2013;1,936,538.108975
41 Sevilla;Total;Total;Both sexes;1 January 2013;1,936,702.881921
41 Sevilla;Total;Total;Both sexes;1 July 2012;1,934,552.274635
41 Sevilla;Total;Total;Both sexes;1 January 2012;1,932,572.647280
41 Sevilla;Total;Total;Both sexes;1 July 2011;1,925,234.336208
41 Sevilla;Total;Total;Both sexes;1 January 2011;1,918,746.773031
41 Sevilla;Total;Total;Both sexes;1 July 2010;1,910,387.897308
41 Sevilla;Total;Total;Both sexes;1 January 2010;1,902,955.680627
41 Sevilla;Total;Total;Both sexes;1 July 2009;1,893,602.442256
41 Sevilla;Total;Total;Both sexes;1 January 2009;1,884,106.577845
41 Sevilla;Total;Total;Both sexes;1 July 2008;1,872,245.272632
41 Sevilla;Total;Total;Both sexes;1 January 2008;1,859,555.443051
41 Sevilla;Total;Total;Both sexes;1 July 2007;1,846,364.249404
41 Sevilla;Total;Total;Both sexes;1 January 2007;1,831,956.179945
41 Sevilla;Total;Total;Both sexes;1 July 2006;1,819,649.956678
41 Sevilla;Total;Total;Both sexes;1 January 2006;1,807,971.475962
41 Sevilla;Total;Total;Both sexes;1 July 2005;1,796,244.477506
41 Sevilla;Total;Total;Both sexes;1 January 2005;1,785,135.463761
41 Sevilla;Total;Total;Both sexes;1 July 2004;1,773,342.733331
41 Sevilla;Total;Total;Both sexes;1 January 2004;1,764,493.404849
41 Sevilla;Total;Total;Both sexes;1 July 2003;1,756,557.147478
41 Sevilla;Total;Total;Both sexes;1 January 2003;1,748,400.218710
41 Sevilla;Total;Total;Both sexes;1 July 2002;1,739,484.090056
41 Sevilla;Total;Total;Both sexes;1 January 2002;1,732,697.099475
41 Sevilla;Total;Spanish ;Both sexes;1 July 2022;1,876,098.024605
41 Sevilla;Total;Spanish ;Both sexes;1 January 2022;1,877,110.486240
41 Sevilla;Total;Spanish ;Both sexes;1 July 2021;1,876,952.465433
41 Sevilla;Total;Spanish ;Both sexes;1 January 2021;1,878,019.204626
41 Sevilla;Total;Spanish ;Both sexes;1 July 2020;1,878,910.817246
41 Sevilla;Total;Spanish ;Both sexes;1 January 2020;1,878,884.309864
41 Sevilla;Total;Spanish ;Both sexes;1 July 2019;1,877,845.816344
41 Sevilla;Total;Spanish ;Both sexes;1 January 2019;1,878,352.322823
41 Sevilla;Total;Spanish ;Both sexes;1 July 2018;1,877,161.619673
41 Sevilla;Total;Spanish ;Both sexes;1 January 2018;1,877,679.676521
41 Sevilla;Total;Spanish ;Both sexes;1 July 2017;1,877,451.796611
41 Sevilla;Total;Spanish ;Both sexes;1 January 2017;1,878,602.696702
41 Sevilla;Total;Spanish ;Both sexes;1 July 2016;1,877,357.689348
41 Sevilla;Total;Spanish ;Both sexes;1 January 2016;1,875,576.701692
41 Sevilla;Total;Spanish ;Both sexes;1 July 2015;1,874,486.086229
41 Sevilla;Total;Spanish ;Both sexes;1 January 2015;1,873,714.208991
41 Sevilla;Total;Spanish ;Both sexes;1 July 2014;1,871,227.215478
41 Sevilla;Total;Spanish ;Both sexes;1 January 2014;1,867,776.793134
41 Sevilla;Total;Spanish ;Both sexes;1 July 2013;1,863,968.764257
41 Sevilla;Total;Spanish ;Both sexes;1 January 2013;1,861,149.893975
41 Sevilla;Total;Spanish ;Both sexes;1 July 2012;1,858,767.642566
41 Sevilla;Total;Spanish ;Both sexes;1 January 2012;1,856,571.020976
41 Sevilla;Total;Spanish ;Both sexes;1 July 2011;1,850,333.982802
41 Sevilla;Total;Spanish ;Both sexes;1 January 2011;1,844,117.071687
41 Sevilla;Total;Spanish ;Both sexes;1 July 2010;1,835,943.042812
41 Sevilla;Total;Spanish ;Both sexes;1 January 2010;1,828,816.603931
41 Sevilla;Total;Spanish ;Both sexes;1 July 2009;1,820,456.929916
41 Sevilla;Total;Spanish ;Both sexes;1 January 2009;1,813,430.837359
41 Sevilla;Total;Spanish ;Both sexes;1 July 2008;1,804,901.942559
41 Sevilla;Total;Spanish ;Both sexes;1 January 2008;1,796,226.656729
41 Sevilla;Total;Spanish ;Both sexes;1 July 2007;1,787,989.130062
41 Sevilla;Total;Spanish ;Both sexes;1 January 2007;1,780,486.720803
41 Sevilla;Total;Spanish ;Both sexes;1 July 2006;1,772,361.571886
41 Sevilla;Total;Spanish ;Both sexes;1 January 2006;1,764,226.250721
41 Sevilla;Total;Spanish ;Both sexes;1 July 2005;1,755,639.737044
41 Sevilla;Total;Spanish ;Both sexes;1 January 2005;1,749,710.506382
41 Sevilla;Total;Spanish ;Both sexes;1 July 2004;1,742,272.000042
41 Sevilla;Total;Spanish ;Both sexes;1 January 2004;1,735,679.852735
41 Sevilla;Total;Spanish ;Both sexes;1 July 2003;1,730,317.303782
41 Sevilla;Total;Spanish ;Both sexes;1 January 2003;1,725,169.752956
41 Sevilla;Total;Spanish ;Both sexes;1 July 2002;1,719,294.448842
41 Sevilla;Total;Spanish ;Both sexes;1 January 2002;1,715,477.757469
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2022;23,449.610546
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2022;23,584.412481
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2021;23,599.004096
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2021;23,906.595708
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2020;24,010.672604
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2020;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2019;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2019;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2018;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2018;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2017;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2017;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2016;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2016;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2015;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2015;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2014;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2014;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2013;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2013;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2012;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2012;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2011;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2011;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2010;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2010;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2009;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2009;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2008;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2008;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2007;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2007;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2006;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2006;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2005;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2005;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2004;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2004;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2003;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2003;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 July 2002;""
41 Sevilla;Total;País de la UE27_2020 sin España;Both sexes;1 January 2002;""
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2022;""
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2022;""
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2021;""
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2021;""
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2020;""
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2020;26,414.939775
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2019;26,059.150013
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2019;26,023.360249
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2018;25,779.425368
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2018;25,926.490486
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2017;25,670.075605
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2017;25,504.660723
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2016;25,539.436698
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2016;25,558.059576
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2015;25,577.958575
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2015;25,701.309186
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2014;25,521.724053
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2014;25,519.442558
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2013;25,577.035222
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2013;25,562.396433
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2012;25,284.566111
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2012;24,870.185338
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2011;23,553.041150
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2011;23,217.052473
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2010;22,863.496280
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2010;22,633.059848
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2009;22,326.072951
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2009;22,027.408577
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2008;21,388.585789
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2008;20,446.094372
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2007;18,188.594080
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2007;14,837.119827
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2006;13,112.237724
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2006;11,677.705301
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2005;10,132.440100
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2005;8,218.169485
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2004;7,090.359142
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2004;6,364.450071
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2003;5,729.143550
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2003;5,050.313724
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 July 2002;4,455.525498
41 Sevilla;Total;País de la UE28 sin España;Both sexes;1 January 2002;4,064.505763
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2022;7,455.856545
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2022;7,087.816545
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2021;7,175.298564
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2021;7,133.780582
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2020;7,044.260582
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2020;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2019;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2019;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2018;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2018;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2017;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2017;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2016;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2016;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2015;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2015;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2014;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2014;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2013;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2013;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2012;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2012;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2011;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2011;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2010;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2010;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2009;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2009;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2008;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2008;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2007;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2007;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2006;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2006;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2005;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2005;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2004;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2004;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2003;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2003;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 July 2002;""
41 Sevilla;Total;País de Europa menos UE27_2020;Both sexes;1 January 2002;""
41 Sevilla;Total;País de Europa menos UE28;Both sexes;1 July 2022;""
